og_representation,mapping,confusion,example,frequency
आन्‍यौर,Aanyor,,आन्‍यौर,1
अडूकी,Aduki,,अडूकी,1
आगरा,Agra,,आगरा,24
अहीरपाडा,Ahir Pada,,अहीरपाडा,2
अकबरपुर,Akbarpur,,अकबरपुर,1
अलबतिया,Albatia,,अलबतिया,1
अल्हैपुर,Alhaipur,,अल्हैपुर,1
अम्बाखार,Amba Khar,t,अम्बाखार,2
अंगूठी,Anguthi,,अंगूठी,1
अर्जुनपुरा,Arjunpura,,अर्जुनपुरा,2
अरतौनी,Artauni,,अरतौनी,1
आजमपुर,Azampur,,आजमपुर,1
अजीजपुर,Azizpur,,अजीजपुर,6
बाद,Baad,t,औरंगाबाद बांगर,1
बाबरपुर,Babarpur,,बाबरपुर,2
बगदा,Bagda,t,बगदा,1
बागकलां,Baghwali,,बागकलां,4
बाह,Bah,t,नगर पालिक ा परिषद कोसीकलांॅ (मनीराम बास बाहरी क्षेत्र),6
बांईपुर,Baipur,t,बांईपुर,2
बाकलपुर,Bakalpur,,बाकलपुर,1
बल्देव,Baldev,,जगन्‍नाथपुरी नगर पंयायत बल्देव,41
बरहाना,Barahana,,बरहाना,1
बरारा,Barara,,बरारा,1
बरारी,Barari,,बरारी,1
बसई,Basai,,बसई,2
बठैनकलां,Bathain Kalan,,बठैनकलां,1
भगतुआ,Bhagatua,,भगतुआ,1
भरतिया,Bhartiya,,भरतिया,1
भवनपुरा,Bhavanpura,,भवनपुरा,1
भूतेश्र्वर,Bhuteshwar,,भूतेश्र्वर,1
बिचपुरी,Bichpuri,,बिचपुरी,1
बोदला,Bodla,,बोदला,1
बुढेरा,Budhera,,बुढेरा,1
चकशिशम,Chakzeem,,चकशिशम,1
चूहरा,Chehara,,चूहरा,1
छाता,Chhata,,औधाेगिक क्षेत्र छाता,79
छटीकरा,Chhatikara,,छटीकरा,1
छावनी,Chhawani,,छावनी,2
छीपीटोला,Chhipitola,,छीपीटोला,1
दौताना,Dautana,,दौताना,1
दयालबाग,Dayal Bagh,,दयालबाग,2
दहतोरा,Dehtora,,दहतोरा,1
धांधूपुरा,Dhandhapura,,धांधूपुरा,1
दौरेठा,Doretha,,दौरेठा,1
एत्मादपुर,Etmadpur,,एत्मादपुर,10
फतेहाबाद,Fatehabad,,नगर पंचायत फतेहाबाद,11
गऊघाट,Gaighat,,गऊघाट,2
गैलाना,Gailana,,गैलाना,2
गनेशरा,Ganeshara,,गनेशरा,1
गंज,Ganj,,37 ताजगंज,3
जनरलगंज,General Ganj,,जनरलगंज,2
घटवासन,Ghatwasan,,घटवासन,1
गिरधरपुर,Girdharpur,,गिरधरपुर,1
गोपालपुरा,Gopalpura,,गोपालपुरा,1
गोवर्धन,Govardhan,,इन्दरा कॉलोनी नगर पंचायत गोवर्धन,27
गोविन्दपुर,Govinpur,,गोविन्दपुर,1
गुतिला,Gutila,,गुतिला,1
हरीपर्वत,Hariparwat,,हरीपर्वत,1
इस्लामगंज,Islamganj,,इस्लामगंज,1
जाब,Jab,t,जाब,1
जगनपुर,Jaganpur ,t,जगनपुर,3
जयसिंहपुरा,Jai Singh Pura,,जयसिंहपुरा,2
जऊपुरा,Jaipura,,जऊपुरा,1
जैंत,Jait,,जैंत,1
जोरावर,Jorawar,,जोरावर,1
कहरई,Kahrai,,कहरई,1
ककरैठा,Kakraita,,ककरैठा,2
कलवारी,Kalwari,,कलवारी,1
काजीपाडा,Kazipura,,काजीपाडा,3
खासपुर,Khaspur,,खासपुर,2
खेरागढ़,Kheragarh,,खेरागढ़,73
खोजी,Khoji,t,खोजी,1
किरावली,Kiraoli,,किरावली,20
कोटा,Kota,,कोटा,1
कोतवाली,Kotawali,,कोतवाली,2
कोटला,Kotla,,कोटला,1
कुण्डौल,Kundaul,,कुण्डौल,1
लकावली,Lakavali,,लकावली,1
लखनपुर,Lakhan Pur,,खेरा0 से लखनपुरा रोड,1
ललुअा,Lalaua,,ललुअा,1
लड़ामदा,Laramda,,लड़ामदा,1
लोधई,Lodhai,,लोधई,1
लोहामंडी,Loha Mandi,,लोहामंडी,1
लोहामण्डी,Loha Mandi,,लोहामण्डी,2
लोहवन,Lohvan,,लोहवन,1
मघटई,Maghatai,,मघटई,1
महाविद्या,Mahavidya,,महाविद्या,1
महोली,Maholi,,महोली,1
मल्हैं,Malhani,t,मल्हैं,1
मांट,Mant,,तहसील मांट के अतिविशिष्ट राजस्व ग्राम,18
मथुरा,Mathura,,अम्बाखार नगरपालिका मथुरा,56
मऊ,Mau,,मऊ,3
मियांपुर,Miyapur,,मियांपुर,1
मौहम्मदपुर,Mohammdpur,,मौहम्मदपुर,1
नन्दगाँव,Nandgaon,,"छाता, छाता, नन्दगाँव",29
नरी,Naraee,t,नरी,1
नौगांव,Naugaon,,नौगांव,1
नौहझील,Naujhil,,नौहझील,22
नवादा,Nawada,,नवादा,1
पालीखेडा,Pali Kheda,t,पालीखेडा,1
पथौली,Patholi,,पथौली,1
राधाकुण्‍ड,Radha Kund,,राधाकुण्‍ड,1
राधानगर,Radha Nagar,,नगर पंचायत बरसाना (मौहल्ला नई क ालोनी राधानगरी),1
रजरई,Rajai,,रजरई,1
रकाबगंज,Rakabganj,,मण्टोला रकाबगंज वार्ड,2
राया,Raya,t,अध्यापक कालौनी नगर पंचायत राया,65
सदरवन,Sadarban,,सदरवन,1
सागरिया,Sagar Garhi,t,सागरिया,1
सहार,Sahar,,ताज/यमुना एकसप्रेस वे सहारे के राजस्व ग्राम,1
सकीतरा,Sakitara,t,सकीतरा,1
सलेमपुर,Salempur,,सलेमपुर,2
संकेत,Sanket,,संकेत,1
सतघडा,Satghada,t,सतघडा,2
सेमरी,Semari,,सेमरी,1
सैमरी,Semari,,सैमरी,1
शेरगढ,Shergarh,,नगर पंचायत छाता (शेरगढ रोड),3
शिवाल,Shivala,t,शिवाल,1
सिहाना,Sihana,,सिहाना,1
सिकन्दरपुर,Sikandarpur,,सिकन्दरपुर,2
सीकरी,Sikri,,सीकरी,1
सुनारी,Sunari,,सुनारी,1
स्वामीबाग,Swamibagh,,स्वामीबाग,2
तैयवपुर,Tahpur,,तैयवपुर,1
तन्तूरा,Tantpura,t,तन्तूरा,1
तेहरा,Tehara,t,तेहरा,2
तोरा,Tora,,तोरा,1
ऊचागांव,Unchagaon,,ऊचागांव,1
वाद,Vaad,,नवादा,12
वृन्दावन,Vrindavan,,अठखम्बा नगर पालिका वृन्दावन,66
व्यापारियान,Vyapariyan,,नगर पंचायत राया वार्ड 11 मौ0 व्यापारियान,5
जखोदा,Yashoda,,जखोदा,1
जखौदा,Yashoda,,जखौदा,1
नौबरी,,t,नौबरी,1
पछैया,,t,पछैया,1
पठानान,,t,पठानान,1
पन्नापुर,,t,पन्नापुर,2
पेंठगली,,t,पेंठगली,1
बिरजापुर,,t,बिरजापुर,1
मुतबल्लियान,,t,मुतबल्लियान,1
रौसू,,t,रौसू,1
सर्जेपुर,,t,सर्जेपुर,1
सौहल्ला,,t,सौहल्ला,2
